area_code,measure_a,measure_b
E02000940,67.1,21.52855134
E02000941,66.3,12.46074674
E02000942,76.2,8.84261554
E02000943,75.2,12.18767205
E02000944,65.3,25.05396622
E02000945,58.6,27.48183003
E02000946,70.4,18.25819356
E02000947,77.7,8.234073716
E02000948,73.5,13.88965784
E02000949,80.3,11.20838722
E02000950,67.9,13.0261444
E02000951,73.5,16.91454155
E02000952,74.8,19.61165996
E02000953,74.2,12.05371926
E02000954,71.1,16.68636223
E02000955,68,25.77732477
E02000956,65.1,22.83344249
E02000957,67,19.2439991
E02000958,73.5,15.49050475
E02000959,67.8,20.70418862
E02000960,63,9.878800369
E02000961,62.7,16.0467538
E02000962,61.6,16.4712851
E02000963,64.4,33.10000508
E02000964,61.5,29.66748193
E02000965,62.6,15.31345929
E02000966,63.7,11.88889458
E02000967,57.1,9.325169137
E02000968,62.6,41.57188322
E02000969,60.2,38.76028216
E02000970,60.5,9.603868244
E02000971,59.5,15.57238405
E02000972,62.3,20.04761589
E02000973,63.3,17.76054742
